Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
018500,KR7018500009,동원금속,KOSPI,,956,1,43,4.71,914,996,914,990540,962872174,45586059675,46754933,STK
052860,KR7052860004,아이앤씨,KOSDAQ,벤처기업부,2555,1,55,2.2,2510,2570,2500,52582,132499330,45460963430,17862854,KSQ
448740,KR7448740001,삼성스팩8호,KOSDAQ,SPAC(소속부없음),9740,3,0,0.0,9730,9780,9710,16463,160157080,45427360000,4664000,KSQ
046970,KR7046970000,우리로,KOSDAQ,벤처기업부,1418,2,-34,-2.34,1456,1456,1405,298509,423579748,45414331378,32049634,KSQ
053160,KR7053160008,프리엠스,KOSDAQ,중견기업부,7560,1,60,0.8,7500,7580,7480,21406,161089160,45360000000,6000000,KSQ
065570,KR7065570004,삼영이엔씨,KOSDAQ,벤처기업부,4235,2,-45,-1.05,4280,4280,4110,263827,1096737575,45280871950,10794010,KSQ
036000,KR7036000008,예림당,KOSDAQ,중견기업부,1958,1,123,6.7,1835,1994,1835,173264,339532687,45124148643,23034277,KSQ
352940,KR7352940001,인바이오,KOSDAQ,벤처기업부,4125,2,-35,-0.84,4025,4165,4025,14936,61348070,44829386250,10867730,KSQ
187660,KR7187660006,에이디엠코리아,KOSDAQ,벤처기업부,2040,1,20,0.99,2025,2050,1992,80985,162967505,44764312500,21836250,KSQ
079950,KR7079950002,인베니아,KOSDAQ,중견기업부,1930,1,218,12.73,1971,2220,1810,12226758,25411023077,44567200000,23200000,KSQ
054630,KR7054630009,에이디칩스,KOSDAQ,벤처기업부,558,2,-11,-1.93,574,598,554,1728431,978439863,44557588699,79709461,KSQ
065150,KR7065150005,엠피대산,KOSDAQ,벤처기업부,355,2,-2,-0.56,360,363,348,721703,254011583,44475253775,125282405,KSQ
032580,KR7032580003,피델릭스,KOSDAQ,중견기업부,1334,1,18,1.37,1320,1350,1316,231090,307344349,44330701632,33132064,KSQ
045510,KR7045510005,정원엔시스,KOSDAQ,중견기업부,1376,1,12,0.88,1351,1385,1351,55189,75345956,44319985792,32209292,KSQ
217620,KR7217620004,디딤이앤에프,KOSDAQ,중견기업부,881,2,-1,-0.11,870,908,861,942425,832908075,44292481944,50562194,KSQ
008775,KR7008771008,호텔신라우,KOSPI,,59000,1,1300,2.25,57800,59000,57800,2008,117611200,44285673100,751879,STK
155900,KR7155900004,바다로19호,KOSPI,,2910,1,15,0.52,2890,2910,2885,45633,132158945,44156011620,15200004,STK
080720,KR7080720006,한국유니온제약,KOSDAQ,벤처기업부,5620,1,20,0.36,5590,5660,5550,7225,40399760,44102802240,7903728,KSQ
009310,KR7009310004,참엔지니어링,KOSPI,,743,2,-11,-1.46,801,867,740,4347153,3405073090,44091696831,58867419,STK
030350,KR7030350003,드래곤플라이,KOSDAQ,중견기업부,762,2,-12,-1.55,787,787,758,398728,305435461,44037866868,57641187,KSQ
001000,KR7001000009,신라섬유,KOSDAQ,중견기업부,1801,1,21,1.18,1780,1810,1765,32361,57879591,43942347400,24277540,KSQ
900340,HK0000449303,윙입푸드,KOSDAQ,외국기업(소속부없음),916,1,8,0.88,908,918,908,78768,71886840,43895686620,47973428,KSQ
017510,KR7017510009,세명전기,KOSDAQ,중견기업부,2895,2,-5,-0.17,2900,2910,2850,44203,126726525,43756020000,15246000,KSQ
141020,KR7141020008,디에스앤엘,KOSDAQ,관리종목(소속부없음),1331,0,0,0.0,0,0,0,0,0,43659637692,32802132,KSQ
106240,KR7106240005,파인테크닉스,KOSDAQ,우량기업부,2735,2,-5,-0.18,2740,2770,2680,465757,1273864340,43629176180,15923057,KSQ
045300,KR7045300001,성우테크론,KOSDAQ,중견기업부,4455,1,55,1.25,4400,4455,4370,64035,282628535,43531110315,9771293,KSQ
091340,KR7091340000,S&K폴리텍,KOSDAQ,중견기업부,3715,3,0,0.0,3715,3815,3545,13381,49535370,43479323515,11703721,KSQ
025880,KR7025880006,케이씨피드,KOSDAQ,중견기업부,2595,2,-20,-0.76,2630,2630,2560,92471,238482590,43461230800,16715858,KSQ
