Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,½Ã°£,½Ã°¡,°í°¡,Àú°¡,Á¾°¡,ÀüÀÏ´ëºñ,°Å·¡·®,°Å·¡´ë±Ý,´©ÀûÃ¼°á¸Åµµ¼ö·®,´©ÀûÃ¼°á¸Å¼ö¼ö·®,»óÀåÁÖ½Ä¼ö,½Ã°¡ÃÑ¾×,¿Ü±¹ÀÎÁÖ¹®ÇÑµµ¼ö·®,¿Ü±¹ÀÎÁÖ¹®°¡´É¼ö·®,¿Ü±¹ÀÎÇöº¸À¯¼ö·®,¿Ü±¹ÀÎÇöº¸À¯ºñÀ²,¼öÁ¤ÁÖ°¡ÀÏÀÚ,¼öÁ¤ÁÖ°¡ºñÀ²,±â°ü¼ø¸Å¼ö·®,±â°ü´©Àû¼ø¸Å¼ö·®,µî¶ôÁÖ¼±,µî¶ôºñÀ²,¿¹Å¹±Ý,ÁÖ½ÄÈ¸ÀüÀ²
A338220,ºä³ë,20230621,1030,33450,33450,33200,33300,0,4746,158115000,308989,248411,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230621,1029,33350,33400,33350,33400,0,1974,65908000,305067,247587,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230621,1028,33400,33400,33350,33400,0,540,18017000,304581,246099,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230621,1027,33450,33450,33350,33400,0,1028,34318000,304193,245947,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230621,1026,33400,33450,33400,33400,0,798,26659000,303483,245629,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230621,1025,33400,33450,33300,33400,0,1931,64427000,302797,245517,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230621,1024,33300,33500,33300,33450,0,2100,70241000,300994,245389,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230621,1023,33600,33600,33300,33300,0,3558,119076000,300324,243959,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230621,1022,33500,33650,33450,33600,0,1551,52000000,297156,243569,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230621,1021,33500,33500,33450,33450,0,797,26691000,296840,242334,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230621,1020,33550,33550,33450,33450,0,1392,46640000,296744,241633,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230621,1019,33300,33550,33300,33550,0,1949,65119000,295934,241051,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
