¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,∞≥¿Œ,ø‹±π¿Œ,±‚∞¸∞Ë,±›¿∂≈ı¿⁄,∫∏«Ë,≈ıΩ≈,¿∫«‡,±‚≈∏±›¿∂,ø¨±‚±›,±‚≈∏π˝¿Œ,±‚≈∏ø‹¿Œ,ªÁ∏∆›µÂ
A338220,∫‰≥Î,20230411,-167906,72863,82672,39995,0,28992,0,-19916,0,12449,-78,33601
A338220,∫‰≥Î,20230414,-287547,110237,164031,18366,-9263,87385,0,0,0,12540,739,67543
A338220,∫‰≥Î,20230413,-22234,-7111,30519,11608,-9263,0,0,0,0,-1238,64,28174
A338220,∫‰≥Î,20230418,85244,-79160,-6603,-2201,0,-10916,0,0,0,664,-145,6514
A338220,∫‰≥Î,20230417,68397,-62917,-6097,-285,0,-5812,0,0,0,355,262,0
A338220,∫‰≥Î,20230420,-4050,-36014,38141,-680,2933,5633,0,0,0,1730,193,30255
A338220,∫‰≥Î,20230419,-12344,1653,9364,217,2933,-1546,0,0,0,1093,234,7760
A338220,∫‰≥Î,20230421,17469,-16332,-2400,5001,-2933,2203,0,0,0,-114,1377,-6671
A338220,∫‰≥Î,20230424,19934,-13407,-5688,-512,0,-1356,0,0,0,-631,-208,-3820
A338220,∫‰≥Î,20230426,-71470,77304,198,1121,0,-923,0,0,0,-5174,-858,0
A338220,∫‰≥Î,20230425,-54259,54460,55,1121,0,-1066,0,0,0,-400,144,0
A338220,∫‰≥Î,20230428,32749,17778,-49742,-578,0,-21297,0,0,0,-985,200,-27867
A338220,∫‰≥Î,20230427,-8990,4828,4008,4001,0,7,0,0,0,225,-71,0
A338220,∫‰≥Î,20230502,-1995,4914,-3618,-4799,0,906,0,0,0,25,674,275
A338220,∫‰≥Î,20230504,48424,-50003,720,-2769,0,-1458,0,0,0,900,-41,4947
A338220,∫‰≥Î,20230503,28771,-29871,750,-1500,0,-1316,0,0,0,-213,563,3566
A338220,∫‰≥Î,20230508,3726,-7027,133,-1100,0,-196,0,0,0,2649,519,1429
A338220,∫‰≥Î,20230510,-1880,-3938,6174,-4644,0,-627,0,0,0,-143,-213,11445
A338220,∫‰≥Î,20230509,-654,-6389,7146,-2400,0,-668,0,0,0,0,-103,10214
A338220,∫‰≥Î,20230512,-105442,17600,79273,40945,0,42123,0,-19833,0,9981,-1412,16038
A338220,∫‰≥Î,20230511,-59139,19297,35249,26201,0,-1408,0,-19833,0,4966,-373,30289
A338220,∫‰≥Î,20230516,-133635,5667,128574,814,3646,63643,0,-10000,0,-1404,798,70471
A338220,∫‰≥Î,20230515,-22415,2747,20224,-157,3646,24438,0,0,0,-796,240,-7703
A338220,∫‰≥Î,20230518,172409,-22850,-150019,-57960,5112,-46030,0,-5000,0,3287,-2827,-46141
A338220,∫‰≥Î,20230517,71583,-19339,-55841,22127,0,-1750,0,-5000,0,6073,-2476,-71218
A338220,∫‰≥Î,20230519,4901,5163,-8870,5346,6118,-19758,0,0,0,-1589,395,-576
A338220,∫‰≥Î,20230522,-34618,15128,16581,-6317,6187,7136,0,0,0,3396,-487,9575
A338220,∫‰≥Î,20230524,-62559,83081,-28531,6026,10694,-35727,0,-5000,0,7999,10,-4524
A338220,∫‰≥Î,20230523,14393,30594,-48155,351,5136,-35727,0,-5000,0,3211,-43,-12915
A338220,∫‰≥Î,20230526,-292,15578,-1268,-2154,23066,1690,0,0,17202,-15969,1951,-41072
A338220,∫‰≥Î,20230525,-16524,46815,-14100,-5349,9570,-711,0,0,17202,-18164,1973,-34812
A338220,∫‰≥Î,20230530,40357,-34859,-1218,-11,-3257,-6785,0,0,17265,-4355,75,-8430
A338220,∫‰≥Î,20230601,66623,-24171,-41804,-3715,0,58,0,0,0,-259,-389,-38147
A338220,∫‰≥Î,20230531,42125,-40689,-8,-8,0,0,0,0,0,-677,-751,0
A338220,∫‰≥Î,20230602,-215879,333132,-63304,36000,10834,666,0,0,4191,-56859,2910,-114995
A338220,∫‰≥Î,20230605,65187,-17969,12368,7000,221,-11330,0,0,0,-58827,-759,16477
A338220,∫‰≥Î,20230607,-23838,-16757,52839,8612,-91,12566,0,0,38877,-11773,-471,-7125
